tendangnhap,matkhau,hoten,gioitinh,ngaysinh,sdt,mail,diachi,trangthai,quantri,anh
admin,12345,Trần Văn Hòa,1,2000-04-15,0300471491,dhxi1huo2zadl91qps@gmail.com,"262 Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Thành phố Hồ Chí Minh",1,1,avatarboy1.jpg
admin2,54321,Đỗ Nguyễn Duy Linh,1,1994-11-09,0190932854,by53a88gwqtdysc792@gmail.com,"E-Town Central, Số 11, Đường Đoàn Văn Bơ, Phường 12, Quận 4, Thành phố Hồ Chí Minh",1,1,avatarboy1.jpg
admin3,*****,Dương Thị Tường Vy,0,1999-12-11,0767545170,jne2emzg9yax@gmail.com,"43/6A Minh Phụng, Phường 05, Quận 6, Thành phố Hồ Chí Minh",1,1,avatargirl2.jpg
cm7l,7ypjmn0xb,Đặng Tuấn Anh,1,1983-02-10,0615627313,cm7l7ypjmn0xbfwlapm@gmail.com,"262/53A Lê Văn Sỹ, Phường 14, Quận 3, Thành phố Hồ Chí Minh",1,0,avatarboy1.jpg
xszm,ld9zcah,Hoàng Đức Anh,1,1991-03-06,0622782821,xszmld9zcah6i2q@gmail.com,"Số 19 ngõ 69 Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội",1,0,avatarboy1.jpg
5qvg,bf7xn9wb,Lưu Trang Anh,0,1980-01-10,0866614672,5qvgbf7xn9wbib1fs1cq@gmail.com,"Số 4, liền kề 10, Khu nhà ở CBCS Tổng cục 5 BCA, Xã Tân Triều, Huyện Thanh Trì, Thành phố Hà Nội",1,0,avatargirl1.jpg
ar3s,slrgt,Phạm Hoàng Anh,1,1989-09-07,0848547001,ar3sslrgt145kmqd6l8@gmail.com,"Số 35 Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",1,0,avatarboy1.jpg
ye0d,gzhdrxo2@g,Phạm Thị Hiền Anh,0,1991-03-20,0688314823,ye0dgzhdrxo2@gmail.com,"Số 3, Ngách 130/16, Đường Tựu Liệt, Thị Trấn Văn Điển, Huyện Thanh Trì, Thành phố Hà Nội",1,0,avatargirl2.jpg
g86r,ol3f9af1,Phạm Khắc Việt Anh,1,1997-08-09,0269629636,g86rol3f9af12lcc2ztr@gmail.com,"715 Đường 3/2, , Phường: An Bình, Quận Ninh Kiều",1,0,avatarboy2.jpg
xb1d,ippeg,Đỗ Hoàng Gia Bảo,1,1994-09-27,0735092145,xb1dippegj@gmail.com,"552-554 Đường 30/4, , Phường: Hưng Lợi, Quận Ninh Kiều",1,0,avatarboy1.jpg
